name;			Number;	Photo.link;		Type 1;	Type 2;	Ability 1;	Ability 2;	Hidden Ability;	Catch Rate;	Egg Group1;	Egg Group2;	Hp;	Atk;	Def;	Spatk;	Spdef;	Speed
Corsola;		222;	;				Water;	Rock;	Hustle;		Natural Cure;Regenerator;	60;			Water 1;	Water 3;	65;55;95;65;95;35
Remoraid;		223;	;				Water;	;		Hustle;		Sniper;		Moody;			190;		Water 1;	Water 2;	35;65;35;65;35;65
Octillery;		224;	;				Water;	;		Suction Cups;Sniper;	Moody;			75;			Water 1;	Water 2;	75;105;75;105;75;45
Delibird;		225;	;				Ice;	Flying;	Vital Spirit;Hustle;	Insomnia;		45;			Water 1;	Field;		45;55;45;65;45;75
Mantine;		226;	;				Water;	Flying;	Swift Swim;	Water Absorb;Water Veil;	25;			Water 1;	;			85;40;70;80;140;70
Skarmory;		227;	;				Steel;	Flying;	Keen Eye;	Sturdy;		Weak Armor;		25;			Flying;		;			65;80;140;40;70;70
Houndour;		228;	;				Dark;	Fire;	Early Bird;	Flash Fire;	Unnerve;		120;		Field;		;			45;60;30;80;50;65
Houndoom;		229;	;				Dark;	Fire;	Early Bird;	Flash Fire;	Unnerve;		45;			Field;		;			75;90;50;110;80;95
Kingdra;		230;	;				Water;	Dragon;	Swift Swim;	Sniper;		Damp;			45;			Water 1;	Dragon;		75;95;95;95;95;85
Phanpy;			231;	;				Ground;	;		Pickup;		;			Sand Veil;		120;		Field;		;			90;60;60;40;40;40
Donphan;		232;	;				Ground;	;		Sturdy;		;			Sand Veil;		60;			Field;		;			90;120;120;60;60;50
Porygon2;		233;	;				Normal;	;		Trace;		Download;	Analytic;		45;			Mineral;	;			85;80;90;105;95;60
Stantler;		234;	;				Normal;	;		Intimidate;	Frisk;		Sap Sipper;		45;			Field;		;			73;95;62;85;65;85
Smeargle;		235;	;				Normal;	;		Own Tempo;	Technician;	Moody;			45;			Field;		;			55;20;35;20;45;75
Tyrogue;		236;	;				Fighting;;		Guts;		Steadfast;	Vital Spirit;	75;			Undiscovered;;			35;35;35;35;35;35
Hitmontop;		237;	;				Fighting;;		Intimidate;	Technician;	Steadfast;		45;			Human-Like;	;			50;95;95;35;110;70
Smoochum;		238;	;				Ice;	Psychic;Oblivious;	Forewarn;	Hydration;		45;			Undiscovered;;			45;30;15;85;65;65
Elekid;			239;	;				Electric;;		Static;		;			Vital Spirit;	45;			Undiscovered;;			45;63;37;65;55;95
Magby;			240;	;				Fire;;			Flame Body;	;			Vital Spirit;	45;			Undiscovered;;			45;75;37;70;55;83
Miltank;		241;	;				Normal;	;		Thick Fat;	Scrappy;	Sap Sipper;		45;			Field;		;			95;80;105;40;70;100
Blissey;		242;	;				Normal;	;		Natural Cure;Serene Grace;Healer;		30;			Fairy;		;			255;10;10;75;135;55
Raikou;			243;	;				Electric;;		Pressure;	;			Inner Focus;	3;			Undiscovered;;			90;85;75;115;100;115
Entei;			244;	;				Fire;	;		Pressure;	;			Inner Focus;	3;			Undiscovered;;			115;115;85;90;75;100
Suicune;		245;	;				Water;	;		Pressure;	;			Inner Focus;	3;			Undiscovered;;			100;75;115;90;115;85
Larvitar;		246;	;				Rock;	Ground;	Guts;		;			Sand Veil;		45;			Monster;	;			50;64;50;45;50;41
Pupitar;		247;	;				Rock;	Ground;	Shed Skin;	;			;				45;			Monster;	;			70;84;70;65;70;51
Tyranitar;		248;	;				Rock;	Dark;	Sand Stream;;			Unnerve;		45;			Monster;	;			100;134;110;95;100;61
Lugia;			249;	;				Psychic;Flying;	Pressure;	;			Multiscale;		3;			Undiscovered;;			106;90;130;90;154;110
Ho-Oh;			250;	;				Fire;	Flying;	Pressure;	;			Regenerator;	3;			Undiscovered;;			106;130;90;110;154;90
Celebi;			251;	;				Psychic;Grass;	Natural Cure;;			;				45;			Undiscovered;;			100;100;100;100;100;100
Treecko;		252;	;				Grass;	;		Overgrow;	;			Unburden;		45;			Monster;	Dragon;		40;45;35;65;55;70
Grovyle;		253;	;				Grass;	;		Overgrow;	;			Unburden;		45;			Monster;	Dragon;		50;65;45;85;65;95
Sceptile;		254;	;				Grass;	;		Overgrow;	;			Unburden;		45;			Monster;	Dragon;		70;85;65;105;85;120
Torchic;		255;	;				Fire;	;		Blaze;		;			Speed Boost;	45;			Field;		;			45;60;40;70;50;45
Combusken;		256;	;				Fire;	Fighting;Blaze;		;			Speed Boost;	45;			Field;		;			60;85;60;85;60;55
Blaziken;		257;	;				Fire;	Fighting;Blaze;		;			Speed Boost;	45;			Field;		;			80;120;70;110;70;80
Mudkip;			258;	;				Water;	;		Torrent;	;			Damp;			45;			Monster;	Water 1;	50;70;50;50;50;40
Marshtomp;		259;	;				Water;	Ground;	Torrent;	;			Damp;			45;			Monster;	Water 1;	70;85;70;60;70;50
Swampert;		260;	;				Water;	Ground;	Torrent;	;			Damp;			45;			Monster;	Water 1;	100;110;90;85;90;60
Poochyena;		261;	;				Dark;	;		Run Away;	Quick Feet;	Rattled;		255;		Field;		;			35;55;35;30;30;35
Mightyena;		262;	;				Dark;	;		Intimidate;	Quick Feet;	Moxie;			127;		Field;		;			70;90;70;60;60;70
Zigzagoon;		263;	;				Normal;	;		Pickup;		Gluttony;	Quick Feet;		255;		Field;		;			38;30;41;30;41;60
Linoone;		264;	;				Normal;	;		Pickup;		Gluttony;	Quick Feet;		90;			Field;		;			78;70;61;50;61;100
Wurmple;		265;	;				Bug;	;		Shield Dust;;			Run Away;		255;		Bug;		;			45;45;35;20;30;20
Silcoon;		266;	;				Bug;	;		Shed Skin;	;			;				120;		Bug;		;			50;35;55;25;25;15
Beautifly;		267;	;				Bug;	Flying;	Swarm;		;			Rivalry;		45;			Bug;		;			60;70;50;100;50;65
Cascoon;		268;	;				Bug;	;		Shed Skin;	;			;				120;		Bug;		;			50;35;55;25;25;15
Dustox;			269;	;				Bug;	Poison;	Shield Dust;;			Compound Eyes;	45;			Bug;		;			60;50;70;50;90;65
Lotad;			270;	;				Water;	Grass;	Swift Swim;	Rain Dish;	Own Tempo;		255;		Water 1;	Grass;		40;30;30;40;50;30
Lombre;			271;	;				Water;	Grass;	Swift Swim;	Rain Dish;	Own Tempo;		120;		Water 1;	Grass;		60;50;50;60;70;50
Ludicolo;		272;	;				Water;	Grass;	Swift Swim;	Rain Dish;	Own Tempo;		45;			Water 1;	Grass;		80;70;70;90;100;70
Seedot;			273;	;				Grass;	;		Chlorophyll;Early Bird;	Pickpocket;		255;		Field;		Grass;		40;40;50;30;30;30
Nuzleaf;		274;	;				Grass;	Dark;	Chlorophyll;Early Bird;	Pickpocket;		120;		Field;		Grass;		70;70;40;60;40;60
Shiftry;		275;	;				Grass;	Dark;	Chlorophyll;Early Bird;	Pickpocket;		45;			Field;		Grass;		90;100;60;90;60;80
Taillow;		276;	;				Normal;	Flying;	Guts;		;			Scrappy;		200;		Flying;		;			40;55;30;30;30;85
Swellow;		277;	;				Normal;	Flying;	Guts;		;			Scrappy;		45;			Flying;		;			60;85;60;75;50;125
Wingull;		278;	;				Water;	Flying;	Keen Eye;	Hydration;	Rain Dish;		190;		Water 1;	Flying;		40;30;30;55;30;85
Pelipper;		279;	;				Water;	Flying;	Keen Eye;	Drizzle;	Rain Dish;		45;			Water 1;	Flying;		60;50;100;95;70;65
Ralts;			280;	;				Psychic;Fairy;	Synchronize;Trace;		Telepathy;		235;		Amorphous;	;			28;25;25;45;35;40
Kirlia;			281;	;				Psychic;Fairy;	Synchronize;Trace;		Telepathy;		120;		Amorphous;	;			38;35;35;65;55;50
Gardevoir;		282;	;				Psychic;Fairy;	Synchronize;Trace;		Telepathy;		45;			Amorphous;	;			68;65;65;125;115;80;
Surskit;		283;	;				Bug;	Water;	Swift Swim;	;			Rain Dish;		200;		Water 1;	Bug;		40;30;32;50;52;65
Masquerain;		284;	;				Bug;	Flying;	Intimidate;	;			Unnerve;		75;			Water 1;	Bug;		70;60;62;100;82;80
Shroomish;		285;	;				Grass;	;		Effect Spore;Poison Heal;Quick Feet;	255;		Fairy;		Grass;		60;40;60;40;60;35
Breloom;		286;	;				Grass;	Fighting;Effect Spore;Poison Heal;Technician;	90;			Fairy;		Grass;		60;130;80;60;60;70
Slakoth;		287;	;				Normal;	;		Traunt;		;			;				255;		Field;		;			60;60;60;35;35;30
Vigoroth;		288;	;				Normal;	;		Vital Spirit;;			;				120;		Field;		;			80;80;80;55;55;90
Slaking;		289;	;				Normal;	;		Traunt;		;			;				45;			Field;		;			150;160;100;95;65;100
Nincada;		290;	;				Bug;	Ground;	Compound Eyes;;			Run Away;		255;		Bug;		;			31;45;90;30;30;40
Ninjask;		291;	;				Bug;	Flying;	Speed Boost;;			Infiltrator;	120;		Bug;		;			61;90;45;50;50;160
Shedinja;		292;	;				Bug;	Ghost;	Wonder Guard;;			;				45;			Mineral;	;			1;90;45;30;30;40
Whismur;		293;	;				Normal;	;		Soundproof;	;			Rattled;		190;		Monster;	Field;		64;51;23;51;23;28
Loudred;		294;	;				Normal;	;		Soundproof;	;			Scrappy;		120;		Monster;	Field;		84;71;43;71;43;48
Exploud;		295;	;				Normal;	;		Soundproof;	;			Scrappy;		45;			Monster;	Field;		104;91;63;91;73;68
Makuhita;		296;	;				Fighting;;		Thick Fat;	Guts;		Sheer Force;	180;		Human-Like;	;			72;60;30;20;30;25
Hariyama;		297;	;				Fighting;;		Thick Fat;	Guts;		Sheer Force;	200;		Human-Like;	;			144;120;60;40;60;50
Azurill;		298;	;				Normal;	Fairy;	Thick Fat;	Huge Power;	Sap Sipper;		150;		Undiscovered;;			50;20;40;20;40;20
Nosepass;		299;	;				Rock;	;		Sturdy;		Magnet Pull;Sand Force;		255;		Mineral;	;			30;45;135;45;90;30
Skitty;			300;	;				Normal;	;		Cute Charm;	Normalize;	Wonder Skin;	255;		Field;		Fairy;		50;45;45;35;35;50
Delcatty;		301;	;				Normal;	;		Cute Charm;	Normalize;	Wonder Skin;	60;			Field;		Fairy;		70;65;65;55;55;90
Sableye;		302;	;				Dark;	Ghost;	Keen Eye;	Stall;		Prankster;		45;			Human-Like;	;			50;75;75;65;65;50
Mawile;			303;	;				Steel;	Fairy;	Hyper Cutter;Intimidate;Sheer Force;	45;			Field;		Fairy;		50;85;85;55;55;50
Aron;			304;	;				Steel;	Rock;	Sturdy;		Rock Head;	Heavy Metal;	180;		Monster;	;			50;70;100;40;40;30
Lairon;			305;	;				Steel;	Rock;	Sturdy;		Rock Head;	Heavy Metal;	90;			Monster;	;			60;90;140;50;50;40
Aggron;			306;	;				Steel;	Rock;	Sturdy;		Rock Head;	Heavy Metal;	45;			Monster;	;			70;110;180;60;60;50
Meditite;		307;	;				Fighting;Psychic;Pure Power;;			Telepathy;		180;		Human-Like;	;			30;40;55;40;55;60
Medicham;		308;	;				Fighting;Psychic;Pure Power;;			Telepathy;		90;			Human-Like;	;			60;60;75;60;75;80
Electrike;		309;	;				Electric;;		Static;		Lightning Rod;Minus;		120;		Field;		;			40;45;40;65;40;65
Manectric;		310;	;				Electric;;		Static;		Lightning Rod;Minus;		45;			Field;		;			70;75;60;105;60;105
Plusle;			311;	;				Electric;;		Plus;		;			Lightning Rod;	200;		Fairy;		;			60;50;40;85;75;95
Minun;			312;	;				Electric;;		Minus;		;			Volt Absorb;	200;		Fairy;		;			60;40;50;75;85;95
Volbeat;		313;	;				Bug;	;		Illuminate;	Swarm;		Prankster;		150;		Bug;		Human-Like;	65;73;75;47;85;85
Illumise;		314;	;				Bug;	;		Oblivious;	Tinted Lens;Prankster;		150;		Bug;		Human-Like;	65;47;75;73;85;85
Roselia;		315;	;				Grass;	Poison;	Natural Cure;Poison Point;Leaf Guard;	150;		Fairy;		Grass;		50;60;45;100;80;65
Gulpin;			316;	;				Posion;	;		Liquid Ooze;Sticky Hold;Gluttony;		225;		Amorphous;	;			70;43;53;43;53;40
Swalot;			317;	;				Posion;	;		Liquid Ooze;Sticky Hold;Gluttony;		75;			Amorphous;	;			100;73;83;73;83;55
Carvanha;		318;	;				Water;	Dark;	Rough Skin;	;			Speed Boost;	225;		Water 2;	;			45;90;20;65;20;65
Sharpedo;		319;	;				Water;	Dark;	Rough Skin;	;			Speed Boost;	60;			Water 2;	;			70;120;40;95;40;95
Wailmer;		320;	;				Water;	;		Water Veil;	Oblivious;	Pressure;		125;		Field;		Water 2;	130;70;35;70;35;60
Wailord;		321;	;				Water;	;		Water Veil;	Oblivious;	Pressure;		60;			Field;		Water 2;	170;90;45;90;45;60
Numel;			322;	;				Fire;	Ground;	Oblivious;	Simple;		Own Tempo;		255;		Field;		;			60;60;40;65;45;35
Camerupt;		323;	;				Fire;	Ground;	Magma Armor;Solid Rock;	Anger Point;	150;		Field;		;			70;100;70;105;75;40
Torkoal;		324;	;				Fire;	;		White Smoke;Drought;	Shell Armor;	90;			Field;		;			70;85;140;85;70;20
Spoink;			325;	;				Psychic;;		Thick Fat;	Own Tempo;	Gluttony;		255;		Field;		;			60;25;35;70;80;60
Grumpig;		326;	;				Psychic;;		Thick Fat;	Own Tempo;	Gluttony;		60;			Field;		;			80;45;65;90;110;80
Spinda;			327;	;				Normal;	;		Own Tempo;	Tangled Feet;Contrary;		255;		Field;		Human-Like;	60;60;60;60;60;60
Trapinch;		328;	;				Ground;	;		Hyper Cutter;Arena Trap;Sheer Force;	255;		Bug;		;			45;100;45;45;45;10
Vibrava;		329;	;				Ground;	Dragon;	Levitate;	;			;				120;		Bug;		;			50;70;50;50;50;70
Flygon;			330;	;				Ground;	Dragon;	Levitate;	;			;				45;			Bug;		;			80;100;80;80;80;100
Cacnea;			331;	;				Grass;	;		Sand Veil;	;			Water Absorb;	190;		Grass;		Human-Like;	50;85;40;85;40;35
Cacturne;		332;	;				Grass;	Dark;	Sand Veil;	;			Water Absorb;	60;			Grass;		Human-Like;	70;115;60;115;60;55
Swablu;			333;	;				Normal;	Flying;	Natural Cure;;			Cloud Nine;		255;		Flying;		Dragon;		45;40;60;40;75;50
Altaria;		334;	;				Dragon;	Flying;	Natural Cure;;			Cloud Nine;		45;			Flying;		Dragon;		75;70;90;70;105;80
Zangoose;		335;	;				Normal;	;		Immunity;	;			Toxic Boost;	90;			Field;		;			73;115;60;60;60;90
Seviper;		336;	;				Posion;	;		Shed Skin;	;			Infiltrator;	90;			Field;		Dragon;		73;100;60;100;60;65
Lunatone;		337;	;				Rock;	Psychic;Levitate;	;			;				45;			Mineral;	;			90;55;65;95;85;70
Solrock;		338;	;				Rock;	Psychic;Levitate;	;			;				45;			Mineral;	;			90;95;85;55;65;70
Barboach;		339;	;				Water;	Ground;	Oblivious;	Anticipation;Hydration;		190;		Water 2;	;			50;48;43;46;41;60
Whiscash;		340;	;				Water;	Ground;	Oblivious;	Anticipation;Hydration;		75;			Water 2;	;			110;78;73;76;71;60
Corphish;		341;	;				Water;	;		Hyper Cutter;Shell Armor;Adaptability;	205;		Water 1;	Water 3;	43;80;65;50;35;35
Crawdaunt;		342;	;				Water;	Dark;	Hyper Cutter;Shell Armor;Adaptability;	155;		Water 1;	Water 3;	63;120;85;90;55;55
Baltoy;			343;	;				Ground;	Psychic;Levitate;	;			;				255;		Mineral;	;			40;40;55;40;70;55
Claydol;		344;	;				Ground;	Psychic;Levitate;	;			;				90;			Mineral;	;			60;70;105;70;120;75
Lileep;			345;	;				Rock;	Grass;	Suction Cups;;			Storm Drain;	45;			Water 3;	;			66;41;77;61;87;23
Cradily;		346;	;				Rock;	Grass;	Suction Cups;;			Storm Drain;	45;			Water 3;	;			86;81;97;81;107;43
Anorith;		347;	;				Rock;	Bug;	Battle Armor;;			Swift Swim;		45;			Water 3;	;			45;95;50;40;50;75
Armaldo;		348;	;				Rock;	Bug;	Battle Armor;;			Swift Swim;		45;			Water 3;	;			75;125;100;70;80;45
Feebas;			349;	;				Water;	;		Swift Swim;	Oblivious;	Adaptability;	255;		Water 1;	Dragon;		20;15;20;10;55;80
Milotic;		350;	;				Water;	;		Marvel Scale;Competitive;Cute Charm;	60;			Water 1;	Dragon;		95;60;79;100;125;81
Castform;		351;	;				Normal;	;		Forecast;	;			;				45;			Fairy;		Amorphous;	70;70;70;70;70;70
Kecleon;		352;	;				Normal;	;		Color Change;;			Protean;		200;		Field;		;			60;90;70;60;120;40
Shuppet;		353;	;				Ghost;	;		Insomnia;	Frisk;		Cursed Body;	225;		Amorphous;	;			44;75;35;63;33;45
Banette;		354;	;				Ghost;	;		Insomnia;	Frisk;		Cursed Body;	45;			Amorphous;	;			64;115;65;83;63;65
Duskull;		355;	;				Ghost;	;		Levitate;	;			Frisk;			190;		Amorphous;	;			20;40;90;30;90;25
Dusclops;		356;	;				Ghost;	;		Pressure;	;			Frisk;			90;			Amorphous;	;			40;70;130;60;130;25
Tropius;		357;	;				Grass;	Flying;	Chlorophyll;Solar Power;Harvest;		200;		Mosnter;	Grass;		99;68;83;72;87;51
Chimecho;		358;	;				Psychic;;		Levitate;	;			;				45;			Amorphous;	;			75;50;80;95;90;65
Absol;			359;	;				Dark;	;		Pressure;	Super Luck;	Justified;		30;			Field;		;			65;130;60;75;60;75
Wynaut;			360;	;				Psychic;;		Shadow Tag;	;			Telepathy;		125;		Undiscovered;;			95;23;48;23;48;23
Snorunt;		361;	;				Ice;	;		Inner Focus;Ice Body;	Moody;			190;		Fairy;		Mineral;	50;50;50;50;50;50
Glalie;			362;	;				Ice;	;		Inner Focus;Ice Body;	Moody;			75;			Fairy;		Mineral;	80;80;80;80;80;80
Spheal;			363;	;				Ice;	Water;	Thick Fat;	Ice Body;	Oblivious;		255;		Water 1;	Field;		70;40;50;55;50;25
Sealeo;			364;	;				Ice;	Water;	Thick Fat;	Ice Body;	Oblivious;		120;		Water 1;	Field;		90;60;70;75;70;45
Walrein;		365;	;				Ice;	Water;	Thick Fat;	Ice Body;	Oblivious;		45;			Water 1;	Field;		110;80;90;95;90;65
Clamperl;		366;	;				Water;	;		Shell Armor;;			Rattled;		255;		Water 1;	;			35;64;85;74;55;32
Huntail;		367;	;				Water;	;		Swift Swim;	;			Water Veil;		60;			Water 1;	;			55;104;105;94;75;52
Gorebyss;		368;	;				Water;	;		Swift Swim;	;			Hydration;		60;			Water 1;	;			55;84;105;114;75;52
Relicanth;		369;	;				Water;	Rock;	Swift Swim;	Rock Head;	Sturdy;			25;			Water 1;	Water 2;	100;90;130;45;65;55
Luvdisc;		370;	;				Water;	;		Swift Swim;	;			Hydration;		225;		Water 2;	;			43;30;55;40;65;97
Bagon;			371;	;				Dragon;	;		Rock Head;	;			Sheer Force;	45;			Dragon;		;			45;75;60;40;30;50
Shelgon;		372;	;				Dragon;	;		Rock Head;	;			Overcoat;		45;			Dragon;		;			65;95;100;60;50;50
Salamence;		373;	;				Dragon;	Flying;	Intimidate;	;			Moxie;			45;			Dragon;		;			95;135;80;110;80;100
Beldum;			374;	;				Steel;	Psychic;Clear Body;	;			Light Metal;	3;			Mineral;	;			40;55;80;35;60;30
Metang;			375;	;				Steel;	Psychic;Clear Body;	;			Light Metal;	3;			Mineral;	;			60;75;100;55;80;50
Metagross;		376;	;				Steel;	Psychic;Clear Body;	;			Light Metal;	3;			Mineral;	;			80;135;130;95;90;70
Regirock;		377;	;				Rock;	;		Clear Body;	;			Sturdy;			3;			Undiscovered;;			80;100;200;50;100;50
Regice;			378;	;				Ice;	;		Clear Body;	;			Ice Body;		3;			Undiscovered;;			80;50;100;100;200;50
Registeel;		379;	;				Steel;	;		Clear Body;	;			Light Metal;	3;			Undiscovered;;			80;75;150;75;150;50
Latias;			380;	;				Dragon;	Psychic;Levitate;	;			;				3;			Undiscovered;;			80;80;90;110;130;110
Latios;			381;	;				Dragon;	Psychic;Levitate;	;			;				3;			Undiscovered;;			80;90;80;130;110;110
Kyogre;			382;	;				Water;	;		Drizzle;	;			;				3;			Undiscovered;;			100;100;90;150;140;90
Groudon;		383;	;				Ground;	;		Drought;	;			;				3;			Undiscovered;;			100;150;140;100;90;90
Rayquaza;		384;	;				Dragon;	Flying;	Air Lock;	;			;				45;			Undiscovered;;			105;150;90;150;90;95
Jirachi;		385;	;				Steel;	Psychic;Serene Grace;;			;				3;			Undiscovered;;			100;100;100;100;100;100
Deoxys;			386;	;				Psychic;;		Pressure;	;			;				3;			Undiscovered;;			50;150;50;150;50;150
Turtwig;		387;	;				Grass;	;		Overgrow;	;			Shell Armor;	45;			Monster;	Grass;		55;68;64;45;55;31
Grotle;			388;	;				Grass;	;		Overgrow;	;			Shell Armor;	45;			Monster;	Grass;		75;89;85;55;65;36
Torterra;		389;	;				Grass;	Ground;	Overgrow;	;			Shell Armor;	45;			Monster;	Grass;		95;109;105;75;85;56
Chimchar;		390;	;				Fire;	;		Blaze;		;			Iron Fist;		45;			Field;		Human-Like;	44;58;44;58;44;61
Monferno;		391;	;				Fire;	Fighting;Blaze;		;			Iron Fist;		45;			Field;		Human-Like;	64;78;52;78;52;81
Infernape;		392;	;				Fire;	Fighting;Blaze;		;			Iron Fist;		45;			Field;		Human-Like;	76;104;71;104;71;108
Piplup;			393;	;				Water;	;		Torrent;	;			Defiant;		45;			Water 1;	Field;		53;51;53;61;56;40
Prinplup;		394;	;				Water;	;		Torrent;	;			Defiant;		45;			Water 1;	Field;		64;66;68;81;76;50
Empoleon;		395;	;				Water;	Steel;	Torrent;	;			Defiant;		45;			Water 1;	Field;		84;86;88;111;101;60
Starly;			396;	;				Normal;	Flying;	Keen Eye;	;			Reckless;		255;		Flying;		;			40;55;30;30;30;60
Staravia;		397;	;				Normal;	Flying;	Intimidate;	;			Reckless;		120;		Flying;		;			55;75;50;40;40;80
Staraptor;		398;	;				Normal;	Flying;	Intimidate;	;			Reckless;		45;			Flying;		;			85;120;70;50;60;100
Bidoof;			399;	;				Normal;	;		Simple;		Unaware;	Moody;			255;		Water 1;	Field;		59;45;40;35;40;31
Bibarel;		400;	;				Normal;	Water;	Simple;		Unaware;	Moody;			127;		Water 1;	Field;		79;85;60;55;60;71
Kricketot;		401;	;				Bug;	;		Shed Skin;	;			Run Away;		255;		Bug;		;			37;25;41;25;41;25
Kricketune;		402;	;				Bug;	;		Swarm;		;			Technician;		45;			Bug;		;			77;85;51;55;51;65
Shinx;			403;	;				Electric;;		Rivalry;	Intimidate;	Guts;			235;		Field;		;			45;65;34;40;34;45
Luxio;			404;	;				Electric;;		Rivalry;	Intimidate;	Guts;			120;		Field;		;			60;85;49;60;49;60
Luxray;			405;	;				Electric;;		Rivalry;	Intimidate;	Guts;			45;			Field;		;			80;120;79;95;79;70
Budew;			406;	;				Grass;	Poison;	Natural Cure;Poison Point;Leaf Guard;	255;		Undiscovered;;			40;30;35;50;70;55
Roserade;		407;	;				Grass;	Poison;	Natural Cure;Poison Point;Technician;	75;			Fairy;		Grass;		60;70;65;125;105;90
Cranidos;		408;	;				Rock;	;		Mold Breaker;;			Sheer Force;	45;			Monster;	;			67;125;40;30;30;58
Rampardos;		409;	;				Rock;	;		Mold Breaker;;			Sheer Force;	45;			Monster;	;			97;165;60;65;50;58
Shieldon;		410;	;				Rock;	Steel;	Sturdy;		;			Soundproof;		45;			Monster;	;			30;42;118;42;88;30
Bastiodon;		411;	;				Rock;	Steel;	Sturdy;		;			Soundproof;		45;			Monster;	;			60;52;168;47;138;30
Burmy;			412;	;				Bug;	;		Shed Skin;	;			Overcoat;		120;		Bug;		;			40;29;45;29;45;36
Wormadam;		413;	;				Bug;	Ground;	Anticipation;;			Overcoat;		45;			Bug;		;			60;59;85;79;105;36
Mothim;			414;	;				Bug;	Flying;	Swarm;		;			Tinted Lens;	45;			Bug;		;			70;94;50;94;50;66
Combee;			415;	;				Bug;	Flying;	Honey Gather;;			Hustle;			120;		Bug;		;			30;30;42;30;42;70
Vespiquen;		416;	;				Bug;	Flying;	Pressure;	;			Unnerve;		45;			Bug;		;			70;80;102;80;102;40
Pachirisu;		417;	;				Electric;;		Run Away;	Pickup;		Volt Absorb;	200;		Field;		Fairy;		60;45;70;45;90;95
Buizel;			418;	;				Water;	;		Swift Swim;	;			Water Veil;		190;		Water 1;	Field;		55;65;35;60;30;85
Floatzel;		419;	;				Water;	;		Swift Swim;	;			Water Veil;		75;			Water 1;	Field;		85;105;55;85;50;115
Cherubi;		420;	;				Grass;;			Chlorophyll;;			;				190;		Fairy;		Grass;		45;35;45;62;53;35
Cherrim;		421;	;				Grass;;			Flower Gift;;			;				75;			Fairy;		Grass;		70;60;70;87;78;85
Shellos;		422;	;				Water;	;		Sticky Hold;Storm Drain;Sand Force;		190;		Water 1;	Amorphous;	76;48;48;57;62;34
Gastrodon;		423;	;				Water;	Ground;	Sticky Hold;Storm Drain;Sand Force;		75;			Water 1;	Amorphous;	111;83;68;92;82;39
Ambipom;		424;	;				Normal;	;		Technician;	Pickup;		Skill Link;		45;			Field;		;			75;100;66;60;66;115
Drifloon;		425;	;				Ghost;	Flying;	Aftermatth;	Unburden;	Flare Boost;	125;		Amorphous;	;			90;50;34;60;44;70
Drifblim;		426;	;				Ghost;	Flying;	Aftermatth;	Unburden;	Flare Boost;	60;			Amorphous;	;			150;80;44;90;54;80
Buneary;		427;	;				Normal;	;		Run Away;	Klutz;		Limber;			190;		Field;		Human-Like;	55;66;44;44;56;85
Lopunny;		428;	;				Normal;	;		Cute Charm;	Klutz;		Limber;			60;			Field;		Human-Like;	65;76;84;54;96;105
Mismagius;		429;	;				Ghost;	;		Levitate;	;			;				45;			Amorphous;	;			60;60;60;105;105;105
Honchkrow;		430;	;				Dark;	Flying;	Insomnia;	Super Luck;	Moxie;			30;			Flying;		;			100;125;52;105;52;71
Glameow;		431;	;				Normal;	;		Limber;		Own Tempo;	Keen Eye;		190;		Field;		;			49;55;42;42;37;85
Purugly;		432;	;				Normal;	;		Thick Fat;	Own Tempo;	Defiant;		75;			Field;		;			71;82;64;64;59;112
Chingling;		433;	;				Psychic;;		Levitate;	;			;				120;		Undiscovered;;			45;30;50;65;50;45
Stunky;			434;	;				Poison;	Dark;	Stench;		Aftermath;	Keen Eye;		225;		Field;		;			63;63;47;41;41;74
Skuntank;		435;	;				Poison;	Dark;	Stench;		Aftermath;	Keen Eye;		60;			Field;		;			103;93;67;71;61;84
Bronzor;		436;	;				Steel;	Psychic;Levitate;	Heatproof;	Heavy Metal;	255;		Mineral;	;			57;24;86;24;86;23
Bronzong;		437;	;				Steel;	Psychic;Levitate;	Heatproof;	Heavy Metal;	90;			Mineral;	;			67;89;116;79;116;33
Bonsly;			438;	;				Rock;	;		Sturdy;		Rock Head;	Rattled;		255;		Undiscovered;;			50;80;95;10;45;10
Mime Jr.;		439;	;				Psychic;Fairy;	Soundproof;	Filter;		Technician;		145;		Undiscovered;;			20;25;45;70;90;60
Happiny;		440;	;				Normal;	;		Natural Cure;Serene Grace;Friend Guard;	130;		Undiscovered;;			100;5;5;15;65;30
Chatot;			441;	;				Normal;	Flying;	Keen Eye;	Tangled Feet;Big Pecks;		30;			Flying;		;			76;65;45;92;42;91
Spiritomb;		442;	;				Ghost;	Dark;	Pressure;	;			Infiltrator;	100;		Amorphous;	;			50;92;108;92;108;35
Gible;			443;	;				Dragon;	Ground;	Sand Veil;	;			Rough Skin;		45;			Monster;	Dragon;		58;70;45;40;45;42
Gabite;			444;	;				Dragon;	Ground;	Sand Veil;	;			Rough Skin;		45;			Monster;	Dragon;		68;90;65;50;55;82
Garchomp;		445;	;				Dragon;	Ground;	Sand Veil;	;			Rough Skin;		45;			Monster;	Dragon;		108;130;95;80;85;102
Munchlax;		446;	;				Normal;	;		Pickup;		Thick Fat;	Gluttony;		50;			Undiscovered;;			135;85;40;40;85;5
Riolu;			447;	;				Fighting;;		Steadfast;	Inner Focus;Prankster;		75;			Undiscovered;;			40;70;40;35;40;60
Lucario;		448;	;				Fighting;Steel;	Steadfast;	Inner Focus;Justified;		45;			Field;		Human-Like;	70;110;70;115;70;90
